Instance,Best-Sol,VBS,NuWLS-c_band,LOANDRA,NuWLS-c-FPS,tt-open-wbo-inc-Glucose4_1,noSAT-MaxSAT,tt-open-wbo-inc-IntelSATSolver,NuWLS-c_static
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,83,83,146,83,146,111,207,146,146
decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6.wcnf,139,139,240,139,242,240,292,240,240
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2.wcnf,53,53,120,53,117,117,120,120,116
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4.wcnf,103,103,164,129,195,103,308,195,170
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,70,70,70,75,70,74,97,70,70
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,119,119,153,119,153,153,211,155,153
decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6.wcnf,255,255,338,255,303,338,385,338,337
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,227,227,227,289,235,238,450,285,239
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3.wcnf,355,355,355,357,384,357,592,419,398
decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2.wcnf,179,179,187,189,179,187,453,203,183
drmx-cryptogen-geffe128_7.wcnf,800,812,823,818,833,812,861,815,826
generalized-ising-IS11_5.0.5.0.0.5_softer_periodic.wcnf,111911777649462,111911777649462,111911777649462,<NA>,111911777649462,112072158920140,112860433429774,112371269869506,111911777649462
generalized-ising-IS12_5.0.5.0.0.5_softer_periodic.wcnf,113011777649462,113011777649462,113171466486232,<NA>,113171466486232,113011777649462,113798314070205,113171466486221,113011777649462
generalized-ising-IS13_5.0.5.0.0.5_softer_periodic.wcnf,119401387482250,119401387482250,119401387482250,119401387482250,119401387482250,119401387482250,126997118411532,119401387482250,119401387482250
generalized-ising-IS15_5.0.5.0.0.5_softer_periodic.wcnf,114658059944605,114658059944605,114658059944605,<NA>,114658059944605,114757898466437,115146229141756,114658059944650,114658059944605
generalized-ising-IS16_5.0.5.0.0.5_softer_periodic.wcnf,115258059944605,115258059944605,115258059944605,116109572029581,115258059944605,115258059944650,115653508245141,115258059944605,115258059944605
generalized-ising-IS17_5.0.5.0.0.5_softer_periodic.wcnf,115889374987694,115889374987694,115902780531937,116547615634882,115902780531937,115904240715390,116059349463952,115904240715411,115889374987694
generalized-ising-IS20_5.0.5.0.0.5_softer_periodic.wcnf,119321209148950,119321209148950,119388436533622,119401387482250,119388436533622,119388436533622,125678484931483,119388436533633,119321209148950
generalized-ising-IS22_5.0.5.0.0.5_softer_periodic.wcnf,118821209148950,118821209148950,119042619292190,119401387482250,119042619292200,119134713876526,124293567301942,119108436533622,118821209148950
generalized-ising-IS23_5.0.5.0.0.5_softer_periodic.wcnf,118321209148950,118321209148950,118663520151734,119401387482250,118663520151734,118663520151734,123073567301942,118663520151734,118321209148950
generalized-ising-IS3_5.0.5.0.0.5_softer_periodic.wcnf,116770994747962,116770994747962,116808110565239,119401387482250,116808110565239,116808110565239,119360554412567,116821931246224,116770994747962
generalized-ising-IS4_5.0.5.0.0.5_softer_periodic.wcnf,115857504490145,115857504490145,115857504490177,119401387482250,115857504490145,115857504490177,117896125174959,115993526432535,115857504490145
generalized-ising-IS5_5.0.5.0.0.5_softer_periodic.wcnf,114843630201205,114843630201205,114843630201223,119401387482250,114843630201223,115021199007243,116795802476629,114843630201223,114843630201205
generalized-ising-IS6_5.0.5.0.0.5_softer_periodic.wcnf,113797656078081,113797656078081,113944733329243,<NA>,113944733329243,113797656078091,115651583846739,113797656078081,113797656078081
generalized-ising-IS7_5.0.5.0.0.5_softer_periodic.wcnf,112706601923009,112706601923009,112706601923009,<NA>,112706601923009,112706601923009,114297016866876,112806147574923,112706601923009
generalized-ising-IS9_5.0.5.0.0.5_softer_periodic.wcnf,110066981524169,110066981524169,110066981524169,<NA>,110066981524169,110066981524169,111462278691228,110193923565216,110066981524169
hs-timetabling-BrazilInstance1.xml.wcnf,38,38,38,39,38,39,179,38,39
hs-timetabling-BrazilInstance2.xml.wcnf,5,5,5,6,5,5,324,8,5
hs-timetabling-BrazilInstance4.xml.wcnf,55,55,117,55,74,67,<NA>,73,81
hs-timetabling-BrazilInstance5.xml.wcnf,19,19,32,19,36,27,<NA>,32,31
hs-timetabling-BrazilInstance6.xml.wcnf,44,44,71,44,82,52,<NA>,66,66
hs-timetabling-BrazilInstance7.xml.wcnf,74,74,151,74,147,116,<NA>,198,125
hs-timetabling-FinlandSecondarySchool.xml.wcnf,104,104,116,265,140,121,<NA>,104,122
hs-timetabling-ItalyInstance4.xml.wcnf,59,59,87,65,78,59,<NA>,62,83
judgment-aggregation-ja-kemeny-preflib-00049-00000300.wcnf,776,776,788,877,792,780,1956,786,776
judgment-aggregation-ja-kemeny-preflib-00049-00000334.wcnf,542,542,553,647,554,544,866,544,542
judgment-aggregation-ja-kemeny-preflib-00049-00000451.wcnf,928,928,943,1020,941,934,1912,935,928
judgment-aggregation-ja-kemeny-preflib-00049-00000454.wcnf,631,631,632,713,670,632,1205,638,631
judgment-aggregation-ja-kemeny-preflib-00051-00000011.wcnf,694,695,703,759,706,706,1768,710,695
max-realizability-power-distribution_11_7.wcnf,126,126,126,133,126,126,2907,126,126
max-realizability-power-distribution_12_8.wcnf,216,216,216,220,216,218,7429,218,218
max-realizability-robot-navigation_10.wcnf,14,14,14,14,14,14,<NA>,14,14
metro-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted.wcnf,138,138,138,138,138,138,229,138,138
mpe-random-net-50-5_network-8.net.wcnf,46535,46850,47381,50961,48950,47184,63370,47188,46850
pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat.wcnf,1688,1735,1785,1735,1785,1785,<NA>,1760,1785
railway-transport-bf2030fvslack.wcnf,245735,245735,245735,258837,245735,245830,<NA>,254175,245735
railway-transport-f2030.wcnf,4195,4195,4494,4195,4456,4494,5819,4494,4494
railway-transport-r11.wcnf,45935393,45935393,47562241,60247161,48722371,48519182,59465111,49558392,45935393
railway-transport-wg2.wcnf,78,78,94,85,87,82,1151,78,78
ramsey-ram_k3_n14.ra1.wcnf,3025,3025,3025,4292,3025,3025,4024,3025,3025
ramsey-ram_k3_n16.ra1.wcnf,7271,7271,7271,9459,7271,7271,10079,7271,7271
ramsey-ram_k3_n19.ra1.wcnf,20665,20665,20841,30526,20665,20665,28497,20665,20665
ramsey-ram_k4_n19.ra1.wcnf,1287,1287,1378,3139,1287,1382,4190,1440,1325
relational-inference-pa-1.wcnf,820,820,866,820,866,859,4953611,1026,2433
relational-inference-pa-2.wcnf,143,866,2281,<NA>,866,1017,638571852,1439,5563
relational-inference-pa-3.wcnf,192,965,1343,216395,965,1895,545377195,1102,2055
setcover-rail2536.wcnf,689,737,1019,1421,1020,1125,803057,1170,737
setcover-rail4284.wcnf,1166,1166,1576,1922,1619,1734,801878,1839,1166
setcover-rail4872.wcnf,1654,1654,1979,<NA>,1997,2355,607961,2504,1654
setcover-rail507.wcnf,174,188,192,244,241,221,314,222,188
shiftdesign-limits-10-10_data-1_inst-084_30m.sm-extracted.wcnf,28414665,28414665,28414665,28421420,28414665,274800487,<NA>,28414665,28414665
shiftdesign-limits-10-10_data-1_inst-137_30m.sm-extracted.wcnf,16167552,16167552,16167552,16168650,16167552,113179871,<NA>,16167552,16167552
shiftdesign-limits-10-10_data-1_inst-182_30m.sm-extracted.wcnf,14625180,14625180,14625180,14625252,14625180,72967806,<NA>,14625180,14625180
shiftdesign-limits-10-10_data-2_inst-003_30m.sm-extracted.wcnf,29513967,29513967,29514026,29514868,29513967,265693143,<NA>,29513967,29513967
shiftdesign-limits-10-10_data-2_inst-025_30m.sm-extracted.wcnf,42366243,42400842,42545726,42400842,42454371,370831112,<NA>,42929928,42693671
shiftdesign-limits-10-10_data-2_inst-030_30m.sm-extracted.wcnf,33006575,33007169,689796446,33692071,689796446,409421261,<NA>,65922896,33007169
shiftdesign-limits-10-10_data-3_inst-002_30m.sm-extracted.wcnf,24222877,24222877,24222877,24223406,24222877,201758684,<NA>,24222877,24222877
shiftdesign-limits-10-10_data-3_inst-003_30m.sm-extracted.wcnf,24657583,24657583,24657583,24658852,24657583,98666514,<NA>,24657583,24657583
shiftdesign-limits-10-10_data-4_inst-003_60m.sm-extracted.wcnf,9547398,9547414,9547414,9547591,9547542,19095377,<NA>,9547542,9547540
spot5-1401.wcsp.log.wcnf,459106,459106,459106,463110,459106,459106,532101,459106,459106
spot5-1403.wcsp.dir.wcnf,459246,459247,463263,463258,461249,459247,524268,461248,459249
spot5-1403.wcsp.log.wcnf,459246,459247,459250,464260,459248,459247,541264,459247,459247
spot5-1405.wcsp.dir.wcnf,459415,459420,466440,461428,459434,459423,534498,459429,459420
spot5-1506.wcsp.log.wcnf,354517,354519,355530,357581,354530,354528,413580,354524,354519
spot5-5.wcsp.log.wcnf,261,261,261,261,261,261,290,261,261
staff-scheduling-instance10.wcnf,5095,5095,5266,5727,5161,5095,19558,5279,5232
staff-scheduling-instance11.wcnf,3593,3593,3607,3935,3609,3593,26155,3666,3640
staff-scheduling-instance12.wcnf,4518,4518,4518,6607,4582,6905,40857,6247,5550
staff-scheduling-instance2.wcnf,828,828,828,828,828,828,2161,829,828
staff-scheduling-instance3.wcnf,1002,1008,1045,1041,1032,1008,3875,1011,1035
staff-scheduling-instance4.wcnf,1724,1724,1743,1784,1736,1730,3925,1724,1740
staff-scheduling-instance5.wcnf,1153,1153,1223,1204,1184,1153,5111,1196,1258
staff-scheduling-instance6.wcnf,1963,1963,1979,2039,2186,1963,7374,2064,2074
staff-scheduling-instance7.wcnf,1092,1092,1119,1194,1150,1092,7447,1107,1099
staff-scheduling-instance8.wcnf,1393,1393,1393,1586,1465,1474,14686,1496,1480
staff-scheduling-instance9.wcnf,565,565,710,774,809,565,11483,661,636
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100.wcnf,20,20,30,30,20,32,<NA>,30,30
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_150.wcnf,70,70,90,78,78,70,<NA>,80,78
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_200.wcnf,100,100,116,111,114,100,<NA>,126,100
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66.wcnf,2,4,8,6,14,12,<NA>,8,4
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68.wcnf,12,12,22,20,24,16,<NA>,12,14
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70.wcnf,6,6,6,6,6,6,<NA>,10,6
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_72.wcnf,2,2,16,2,14,14,<NA>,2,16
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80.wcnf,14,14,18,14,18,22,<NA>,26,20
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_90.wcnf,22,30,30,34,34,36,<NA>,36,34
tcp-tcp_students_112_it_2.wcnf,3585,3585,3585,3585,3585,3585,3921,3585,3585
timetabling-comp02.wcnf,24,24,24,24,24,24,1288,24,24
timetabling-comp09.wcnf,96,98,104,98,104,104,1021,110,104
timetabling-comp12.wcnf,396,396,754,396,628,652,1102,643,659
timetabling-dds4.wcnf,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
